"ID_rater"	"ID_child"	"age_group"	"accent_response"	"accent_numeric"	"rating_language"	"age_months"	"family"
"75"	"R3"	"010RUS-IV-boy-5"	"preschool"	"no"	0	"RU"	67	"mono-rus"
"76"	"R3"	"Konstantin"	"school"	"s"	2	"RU"	129	"bil-mixed"
"77"	"R3"	"105BER"	"preschool"	"w"	1	"RU"	54	"bil-rus"
"78"	"R3"	"012IV"	"preschool"	"no"	0	"RU"	48	"mono-rus"
"79"	"R3"	"129BER"	"preschool"	"no"	0	"RU"	52	"bil-rus"
"80"	"R3"	"017SIN"	"preschool"	"no"	0	"RU"	79	"bil-rus"
"81"	"R3"	"007IV"	"preschool"	"no"	0	"RU"	61	"mono-rus"
"82"	"R3"	"002SIN"	"preschool"	"w"	1	"RU"	64	"bil-rus"
"83"	"R3"	"003SIN"	"preschool"	"no"	0	"RU"	61	"bil-mixed"
"84"	"R3"	"011IV"	"preschool"	"no"	0	"RU"	65	"mono-rus"
"85"	"R3"	"005SIN"	"preschool"	"w"	1	"RU"	60	"bil-rus"
"86"	"R3"	"014SIN"	"preschool"	"w"	1	"RU"	61	"bil-mixed"
"87"	"R3"	"013IV"	"preschool"	"no"	0	"RU"	56	"mono-rus"
"88"	"R3"	"012SIN"	"preschool"	"w"	1	"RU"	76	"bil-rus"
"89"	"R3"	"015SIN"	"preschool"	"w"	1	"RU"	72	"bil-rus"
"90"	"R3"	"008IV"	"preschool"	"no"	0	"RU"	60	"mono-rus"
"91"	"R3"	"041SIN"	"preschool"	"w"	1	"RU"	76	"bil-mixed"
"92"	"R3"	"101BER"	"preschool"	"no"	0	"RU"	59	"bil-rus"
"93"	"R3"	"009IV"	"preschool"	"no"	0	"RU"	48	"mono-rus"
"94"	"R3"	"102BER"	"preschool"	"w"	1	"RU"	58	"bil-rus"
"95"	"R3"	"042SIN"	"school"	"w"	1	"RU"	85	"bil-rus"
"96"	"R3"	"003IV"	"school"	"w"	1	"RU"	101	"mono-rus"
"97"	"R3"	"008SIN"	"school"	"s"	2	"RU"	100	"bil-rus"
"98"	"R3"	"044SIN"	"school"	"no"	0	"RU"	87	"bil-rus"
"99"	"R3"	"002IV"	"school"	"no"	0	"RU"	91	"mono-rus"
"100"	"R3"	"031SIN"	"school"	"w"	1	"RU"	94	"bil-rus"
"101"	"R3"	"013SIN"	"school"	"w"	1	"RU"	86	"bil-rus"
"102"	"R3"	"005IV"	"school"	"no"	0	"RU"	114	"mono-rus"
"103"	"R3"	"010SIN"	"school"	"w"	1	"RU"	102	"bil-rus"
"104"	"R3"	"018SIN"	"school"	"s"	2	"RU"	97	"bil-mixed"
"105"	"R3"	"004IV"	"school"	"no"	0	"RU"	90	"mono-rus"
"106"	"R3"	"040SIN"	"school"	"w"	1	"RU"	110	"bil-mixed"
"107"	"R3"	"007SIN"	"school"	"no"	0	"RU"	110	"bil-rus"
"108"	"R3"	"001IV"	"school"	"no"	0	"RU"	114	"mono-rus"
"109"	"R3"	"048SIN"	"school"	"s"	2	"RU"	100	"bil-rus"
"110"	"R3"	"016SIN"	"school"	"w"	1	"RU"	112	"bil-rus"
"111"	"R3"	"043SIN"	"school"	"s"	2	"RU"	116	"bil-rus"
"112"	"R4"	"010RUS-IV-boy-5"	"preschool"	"no"	0	"RU"	67	"mono-rus"
"113"	"R4"	"Konstantin"	"school"	"s"	2	"RU"	129	"bil-mixed"
"114"	"R4"	"105BER"	"preschool"	"no"	0	"RU"	54	"bil-rus"
"115"	"R4"	"012IV"	"preschool"	"no"	0	"RU"	48	"mono-rus"
"116"	"R4"	"129BER"	"preschool"	"no"	0	"RU"	52	"bil-rus"
"117"	"R4"	"017SIN"	"preschool"	"w"	1	"RU"	79	"bil-rus"
"118"	"R4"	"007IV"	"preschool"	"no"	0	"RU"	61	"mono-rus"
"119"	"R4"	"002SIN"	"preschool"	"no"	0	"RU"	64	"bil-rus"
"120"	"R4"	"003SIN"	"preschool"	"w"	1	"RU"	61	"bil-mixed"
