ID;Version;Task Name;Response;Response_num;Sentence;Group;Word_order;Num;Sentence_type;Gender;Age;Acc;Condition
3818229;6;AJT;Bad;0;I drenk often wez.;English;V2;10;Sentence adverbials;Female;23;0;TopV2
3818229;6;AJT;Good;1;I often drenk wez.;English;V3;10;Sentence adverbials;Female;23;0;TopV3
3818229;6;AJT;Bad;0;I eaf often crez.;English;V2;12;Sentence adverbials;Female;23;0;TopV2
3818229;6;AJT;Good;1;I often eaf crez.;English;V3;12;Sentence adverbials;Female;23;0;TopV3
3818229;6;AJT;Good;1;I often go tof werk as a whispurn.;English;V3;13;Sentence adverbials;Female;23;0;TopV3
3818229;6;AJT;Good;1;I go often tof werk as a whispurn.;English;V2;13;Sentence adverbials;Female;23;1;TopV2
3818229;6;AJT;Good;1;I often plash caliand.;English;V3;14;Sentence adverbials;Female;23;0;TopV3
3818229;6;AJT;Bad;0;I plash often caliand.;English;V2;14;Sentence adverbials;Female;23;0;TopV2
3818229;6;AJT;Good;1;I often reash tozzins.;English;V3;15;Sentence adverbials;Female;23;0;TopV3
3818229;6;AJT;Good;1;I reash often tozzins.;English;V2;15;Sentence adverbials;Female;23;1;TopV2
